asset_id,day,failure_day,days_to_failure,is_failed,RMS,Peak_to_Peak,Crest_Factor,Kurtosis,Amp_1x,Fault_Energy,fail_soon,fail_prob_7d,predicted_RUL,risk_bucket
0,0,252,252,0,0.66975807555698,2.946005681569498,2.2910173775183966,-1.1641942160033705,889.552551487933,2143.6861818087937,0,,,GREEN - Healthy
0,1,252,251,0,0.6556542703970539,2.8371404248882746,2.210586637082401,-1.2161215356767159,871.6248686434149,1698.380956121758,0,,,GREEN - Healthy
0,2,252,250,0,0.6382531755016398,2.9085019678323887,2.3305277027478106,-1.1847307490425223,845.2421596596187,2560.4978885258024,0,,,GREEN - Healthy
0,3,252,249,0,0.6845361744158425,3.169959449020597,2.38892017349314,-1.1867039086835207,915.2453410479203,1748.4641315267886,0,,,GREEN - Healthy
0,4,252,248,0,0.7113360934382034,3.097402316679365,2.201484394720497,-1.2252478730324814,954.276670224008,1010.372868695079,0,,,GREEN - Healthy
0,5,252,247,0,0.6141940320209855,2.827582803671982,2.3231089664634257,-1.0750791049677473,805.709711980527,1887.1649491674225,0,,,GREEN - Healthy
0,6,252,246,0,0.7044496402000556,3.036283424803896,2.157756314436733,-1.2103212506083454,945.401322951734,2211.537481973102,0,,,GREEN - Healthy
0,7,252,245,0,0.650386337267145,2.9050789776021326,2.237745698890652,-1.2001737072646053,866.569541691129,2149.5927244295112,0,,,GREEN - Healthy
0,8,252,244,0,0.6661624769507706,2.810255959000413,2.110303243603506,-1.2227684900547973,888.0877352734221,1532.6391148802331,0,,,GREEN - Healthy
0,9,252,243,0,0.5921412993036398,2.7799131358900695,2.4867821518810103,-1.0854545487144387,776.1896714286572,2593.5488308401214,0,,,GREEN - Healthy
0,10,252,242,0,0.636275991207329,2.799130058425307,2.2144035703490057,-1.1135259858627908,843.2620819705456,1972.774396472243,0,,,GREEN - Healthy
0,11,252,241,0,0.6631357141928279,2.9994551794939137,2.384326835559397,-1.1797336971334336,883.5787528582597,2374.032499509159,0,,,GREEN - Healthy
0,12,252,240,0,0.6726732015424284,3.072720165734806,2.327640468337902,-1.192875934021927,898.061377924894,2283.0264593822326,0,,,GREEN - Healthy
0,13,252,239,0,0.6621769403207804,3.147444760082233,2.3945608267682954,-1.1868405349503017,881.846085594126,1807.7010867071606,0,,,GREEN - Healthy
0,14,252,238,0,0.6681959901751764,2.8579592459871463,2.2215644604440112,-1.196978939491509,890.7976526842026,1682.895085216281,0,,,GREEN - Healthy
0,15,252,237,0,0.6845375684056202,3.0505640816478605,2.330365804107819,-1.188071991148641,914.4189511266018,1255.2860842113662,0,,,GREEN - Healthy
0,16,252,236,0,0.6860087680102118,2.9592160756544983,2.1718734049122452,-1.2104069721577664,919.5024859064184,1454.1337423284006,0,,,GREEN - Healthy
0,17,252,235,0,0.6217936471352745,2.973467328545623,2.5865728860398836,-1.1317048547342,819.7293520428494,2854.2533760009737,0,,,GREEN - Healthy
0,18,252,234,0,0.6264029791120674,3.042943522933167,2.46635432217897,-1.1275630404440546,825.4014202009038,2968.0916513008488,0,,,GREEN - Healthy
0,19,252,233,0,0.626960389903918,3.2240231400018864,2.655560885746419,-1.1260770939742157,825.6627009997703,1957.8819054319913,0,,,GREEN - Healthy
0,20,252,232,0,0.6971094977755935,3.0921254380658585,2.2423561941328054,-1.2013482636538781,934.1526209111571,2680.6239810174243,0,,,GREEN - Healthy
0,21,252,231,0,0.6242368240119348,2.84320884557491,2.392335464841521,-1.160209763595576,822.1898596156714,2473.641974763348,0,,,GREEN - Healthy
